Date,Station1
Jan-71,178.6
Feb-71,5
Mar-71,66.9
Apr-71,93.9
May-71,221.2
Jun-71,519.5
Jul-71,162.2
Aug-71,116.4
Sep-71,422.9
Oct-71,67
Nov-71,95.5
Dec-71,110.3
Jan-72,7.7
Feb-72,0
Mar-72,2.5
Apr-72,91.3
May-72,428.4
Jun-72,139.5
Jul-72,258.6
Aug-72,80.1
Sep-72,203.1
Oct-72,462.5
Nov-72,187.5
Dec-72,110.6
Jan-73,0
Feb-73,0
Mar-73,30.5
Apr-73,144.3
May-73,153.1
Jun-73,451
Jul-73,182.6
Aug-73,160.2
Sep-73,45.8
Oct-73,346.6
Nov-73,100.9
Dec-73,81.7
Jan-74,0
Feb-74,26.2
Mar-74,26.1
Apr-74,187
May-74,227.6
Jun-74,109
Jul-74,340.5
Aug-74,316.1
Sep-74,333.5
Oct-74,114.2
Nov-74,31
Dec-74,5.9
Jan-75,7.4
Feb-75,40
Mar-75,56.4
Apr-75,240
May-75,211.5
Jun-75,438.4
Jul-75,198.7
Aug-75,199
Sep-75,183.1
Oct-75,292.5
Nov-75,337.7
Dec-75,52.9
Jan-76,0.7
Feb-76,0
Mar-76,13.3
Apr-76,96.7
May-76,73.2
Jun-76,70.8
Jul-76,141.7
Aug-76,129.4
Sep-76,32.9
Oct-76,160.7
Nov-76,294.2
Dec-76,38.3
Jan-77,7.9
Feb-77,25.3
Mar-77,29.9
Apr-77,111.1
May-77,419.6
Jun-77,221.7
Jul-77,137
Aug-77,94.8
Sep-77,92.2
Oct-77,554
Nov-77,225.9
Dec-77,22.2
Jan-78,18.7
Feb-78,25.5
Mar-78,51.9
Apr-78,106
May-78,347.2
Jun-78,182.8
Jul-78,182.5
Aug-78,161.5
Sep-78,49.6
Oct-78,79.9
Nov-78,660.8
Dec-78,71.8
Jan-79,1.4
Feb-79,84
Mar-79,37.5
Apr-79,50
May-79,101.1
Jun-79,362.5
Jul-79,156.4
Aug-79,139.5
Sep-79,202
Oct-79,82.3
Nov-79,310.1
Dec-79,58.3
Jan-80,0
Feb-80,0
Mar-80,20.6
Apr-80,95.4
May-80,102
Jun-80,298.9
Jul-80,158.6
Aug-80,150
Sep-80,105.1
Oct-80,180.5
Nov-80,154.5
Dec-80,100.9
Jan-81,16.3
Feb-81,24.7
Mar-81,34.3
Apr-81,123.2
May-81,125
Jun-81,495.6
Jul-81,143
Aug-81,146.8
Sep-81,290
Oct-81,265.7
Nov-81,208.7
Dec-81,24.6
Jan-82,1.5
Feb-82,0
Mar-82,13.6
Apr-82,70.6
May-82,258
Jun-82,461.7
Jul-82,132.7
Aug-82,95.9
Sep-82,15.5
Oct-82,143.5
Nov-82,143
Dec-82,19.8
Jan-83,0
Feb-83,0
Mar-83,0
Apr-83,72
May-83,111.2
Jun-83,211.8
Jul-83,93.9
Aug-83,209.5
Sep-83,183.2
Oct-83,82.7
Nov-83,117.8
Dec-83,116.7
Jan-84,98.8
Feb-84,82.3
Mar-84,103
Apr-84,250.3
May-84,117.5
Jun-84,187.6
Jul-84,120.8
Aug-84,19.3
Sep-84,47.4
Oct-84,177.9
Nov-84,95.5
Dec-84,1.8
Jan-85,70
Feb-85,52.2
Mar-85,7.4
Apr-85,77.2
May-85,242.4
Jun-85,368.1
Jul-85,87.1
Aug-85,59.5
Sep-85,92.4
Oct-85,133.4
Nov-85,220
Dec-85,60.4
Jan-86,19
Feb-86,24.9
Mar-86,3.2
Apr-86,140
May-86,119.7
Jun-86,144.8
Jul-86,107.8
Aug-86,209
Sep-86,97.9
Oct-86,75.3
Nov-86,232.5
Dec-86,17.1
Jan-87,2.8
Feb-87,0
Mar-87,14.3
Apr-87,91.1
May-87,192.8
Jun-87,227
Jul-87,45.6
Aug-87,351.1
Sep-87,157.8
Oct-87,337.5
Nov-87,209.2
Dec-87,312
Jan-88,4.8
Feb-88,12
Mar-88,35.5
Apr-88,150.9
May-88,74.8
Jun-88,450.6
Jul-88,218.8
Aug-88,105.3
Sep-88,331
Oct-88,25.2
Nov-88,166.9
Dec-88,15.4
Jan-89,73.7
Feb-89,0
Mar-89,26.6
Apr-89,139.9
May-89,134.6
Jun-89,375.1
Jul-89,232.7
Aug-89,106.3
Sep-89,341.8
Oct-89,239.2
Nov-89,86.7
Dec-89,14.9
Jan-90,6.3
Feb-90,18.3
Mar-90,24.7
Apr-90,4.6
May-90,316.1
Jun-90,151.5
Jul-90,260.1
Aug-90,44.2
Sep-90,66.7
Oct-90,178.8
Nov-90,369.2
Dec-90,23.2
Jan-91,23.8
Feb-91,40.6
Mar-91,49
Apr-91,112.8
May-91,98.5
Jun-91,816.2
Jul-91,306.4
Aug-91,136.7
Sep-91,11
Oct-91,303.6
Nov-91,109.2
Dec-91,12.4
Jan-92,35.1
Feb-92,0
Mar-92,0
Apr-92,21.7
May-92,243.6
Jun-92,599.5
Jul-92,205
Aug-92,113.1
Sep-92,159.4
Oct-92,375.2
Nov-92,331.4
Dec-92,21
Jan-93,0
Feb-93,2.9
Mar-93,18.6
Apr-93,97.6
May-93,172.8
Jun-93,402.7
Jul-93,309.9
Aug-93,57
Sep-93,57.8
Oct-93,316.6
Nov-93,540.9
Dec-93,118.7
Jan-94,23.9
Feb-94,79
Mar-94,16.1
Apr-94,116.1
May-94,222.9
Jun-94,256.6
Jul-94,282.4
Aug-94,205.4
Sep-94,125
Oct-94,408.8
Nov-94,198.7
Dec-94,34.6
Jan-95,5.4
Feb-95,6.2
Mar-95,20.5
Apr-95,154.8
May-95,363.9
Jun-95,203.6
Jul-95,153.9
Aug-95,89.1
Sep-95,109
Oct-95,182.2
Nov-95,256.4
Dec-95,2
Jan-96,17.8
Feb-96,20.2
Mar-96,6.1
Apr-96,170
May-96,48
Jun-96,297.4
Jul-96,221.4
Aug-96,126
Sep-96,166.7
Oct-96,364.7
Nov-96,95.1
Dec-96,67.2
Jan-97,0
Feb-97,2.6
Mar-97,13.1
Apr-97,42.5
May-97,138.9
Jun-97,274.5
Jul-97,183.3
Aug-97,135.3
Sep-97,420.9
Oct-97,183.1
Nov-97,332.8
Dec-97,95.8
Jan-98,1.1
Feb-98,0.2
Mar-98,0.2
Apr-98,69.8
May-98,302.9
Jun-98,266
Jul-98,113.4
Aug-98,191.7
Sep-98,344.6
Oct-98,374
Nov-98,301.1
Dec-98,206.9
Jan-99,25
Feb-99,92.9
Mar-99,26.2
Apr-99,136.1
May-99,398.2
Jun-99,380.6
Jul-99,173.3
Aug-99,84.3
Sep-99,37.4
Oct-99,432.7
Nov-99,99.8
Dec-99,9.8
Jan-00,6.2
Feb-00,104.4
Mar-00,16.9
Apr-00,125
May-00,6.2
Jun-00,234.6
Jul-00,67.5
Aug-00,337.8
Sep-00,117.9
Oct-00,175.7
Nov-00,98.5
Dec-00,70.3
Jan-01,52.7
Feb-01,47.6
Mar-01,52.7
Apr-01,243.4
May-01,225.5
Jun-01,249.1
Jul-01,319.9
Aug-01,216
Sep-01,503.8
Oct-01,248.2
Nov-01,180.5
Dec-01,33.1
Jan-02,0.8
Feb-02,17.5
Mar-02,46.2
Apr-02,112.2
May-02,257.9
Jun-02,173
Jul-02,60.9
Aug-02,112.1
Sep-02,30.4
Oct-02,485.6
Nov-02,235.6
Dec-02,5.1
Jan-03,5
Feb-03,72
Mar-03,74.6
Apr-03,104
May-03,122.9
Jun-03,219.6
Jul-03,166.8
Aug-03,104.5
Sep-03,13.5
Oct-03,491.3
Nov-03,158.2
Dec-03,1.8
Jan-04,0
Feb-04,5.1
Mar-04,30.2
Apr-04,108
May-04,426.5
Jun-04,272.6
Jul-04,265.5
Aug-04,112.1
Sep-04,259.5
Oct-04,190.2
Nov-04,147.4
Dec-04,21.1
Jan-05,0.5
Feb-05,1.8
Mar-05,19.4
Apr-05,286.4
May-05,186
Jun-05,238
Jul-05,421.5
Aug-05,194.5
Sep-05,255.8
Oct-05,72.6
Nov-05,0.4
Dec-05,0
